,exp_theme,exp_condition,sample_og_name,shortd,longd,carbon_source,oxygen_level,nitrate_level,copper_level,lanthanum_level,growth_rate,growth_mode,include?,notes,cluster_id,project,condition,reference_condition,xorder,full_condition_name,replicate,sample,n_replicates
5GB1_FM40_T40m_TR1_QC_tpm,Cu,lowCu,5GB1_FM40_T40m_TR1_QC,CuT40m_QC,"Fermentor run 40, Cu transition, T40m (after Cu)",2,1,0,1,0,1,0,1,,7,5G,lowCu,uMax,lowCu,5G_lowCu,6.0,5G_lowCu:6,8.0
5GB1_FM40_T60m_TR1_tpm,Cu,lowCu,5GB1_FM40_T60m_TR1,CuT60m,"Fermentor run 40, Cu transition, T60m (after Cu)",2,1,0,1,0,1,0,1,,7,5G,lowCu,uMax,lowCu,5G_lowCu,7.0,5G_lowCu:7,8.0
5GB1_FM40_T60m_TR1_QC_tpm,Cu,lowCu,5GB1_FM40_T60m_TR1_QC,CuT60m_QC,"Fermentor run 40, Cu transition, T60m (after Cu)",2,1,0,1,0,1,0,1,,6,5G,lowCu,uMax,lowCu,5G_lowCu,8.0,5G_lowCu:8,8.0
5GB1_FM40_T90m_TR2_tpm,Cu,medCu,5GB1_FM40_T90m_TR2,CuT90m,"Fermentor run 40, Cu transition, T90m (after Cu)",2,1,0,2,0,2,0,1,,7,5G,medCu,uMax,medCu,5G_medCu,6.0,5G_medCu:6,7.0
5GB1_FM40_T90m_TR2_QC_tpm,Cu,medCu,5GB1_FM40_T90m_TR2_QC,CuT90m_QC,"Fermentor run 40, Cu transition, T90m (after Cu)",2,1,0,2,0,2,0,1,,7,5G,medCu,uMax,medCu,5G_medCu,7.0,5G_medCu:7,7.0
5GB1_FM69_t3_TR1_tpm,highO2_slow_growth,highO2_slow_growth,5GB1_FM69_t3_TR1,5GB1_FM69_t3,Fermentor run 69,2,1,0,3,0,0,0,1,,15,5G,highO2_slow_growth,uMax,highO2_slow_growth,5G_highO2_slow_growth,1.0,5G_highO2_slow_growth:1,4.0
5GB1_FM69_t3_TR1_UW_tpm,highO2_slow_growth,highO2_slow_growth,5GB1_FM69_t3_TR1_UW,5GB1_FM69_t3,,2,1,0,3,0,0,0,1,,15,5G,highO2_slow_growth,uMax,highO2_slow_growth,5G_highO2_slow_growth,2.0,5G_highO2_slow_growth:2,4.0
5GB1_FM69_t4_TR1_tpm,highO2_slow_growth,highO2_slow_growth,5GB1_FM69_t4_TR1,5GB1_FM69_t4,Fermentor run 69,2,1,0,3,0,0,0,1,,15,5G,highO2_slow_growth,uMax,highO2_slow_growth,5G_highO2_slow_growth,3.0,5G_highO2_slow_growth:3,4.0
5GB1_FM69_t4_TR1_UW_tpm,highO2_slow_growth,highO2_slow_growth,5GB1_FM69_t4_TR1_UW,5GB1_FM69_t4,,2,1,0,3,0,0,0,1,,15,5G,highO2_slow_growth,uMax,highO2_slow_growth,5G_highO2_slow_growth,4.0,5G_highO2_slow_growth:4,4.0
5GB1_FM80_t2_TR1_tpm,NO3,NO3_lowO2_slow_growth,5GB1_FM80_t2_TR1,5GB1_FM80_t2,Fermentor run 80,2,0,1,3,0,0,0,1,,14,5G,NO3_lowO2_slow_growth,uMax,NO3_lowO2_slow_growth,5G_NO3_lowO2_slow_growth,1.0,5G_NO3_lowO2_slow_growth:1,4.0
